Sujet,Exp,Uncertainty,nbhits,nbmiss,nbfa,nbrc,hitsrate,fasrate,dprime
1,II,29,40,4,25,0,0.9,0.98,-0.79
2,II,29,41,0,22,0,0.99,0.98,0.24
3,II,29,44,0,0,25,0.99,0.02,4.36
4,II,29,44,1,2,23,0.97,0.1,3.15
5,II,29,45,0,6,19,0.99,0.25,2.97
6,II,29,27,18,15,10,0.6,0.6,0.0
7,II,29,40,5,0,24,0.88,0.02,3.23
8,II,29,39,4,25,0,0.9,0.98,-0.8
9,II,29,43,1,0,25,0.97,0.02,3.9
10,II,29,41,4,1,24,0.9,0.06,2.87
11,II,29,44,1,1,24,0.97,0.06,3.42
12,II,29,45,0,5,20,0.99,0.21,3.1
13,II,29,44,2,0,25,0.95,0.02,3.68
14,II,29,41,4,1,24,0.9,0.06,2.87
1,II,115,42,3,17,3,0.92,0.83,0.46
2,II,115,41,0,17,0,0.99,0.97,0.35
3,II,115,42,3,6,14,0.92,0.31,1.93
4,II,115,40,5,4,16,0.88,0.21,1.97
5,II,115,39,7,0,20,0.84,0.02,2.98
6,II,115,31,14,14,6,0.68,0.69,-0.02
7,II,115,35,9,1,19,0.79,0.07,2.27
8,II,115,43,2,20,0,0.95,0.98,-0.38
9,II,115,42,3,5,15,0.92,0.26,2.07
10,II,115,38,6,3,17,0.86,0.17,2.03
11,II,115,36,10,2,18,0.78,0.12,1.94
12,II,115,44,1,8,12,0.97,0.4,2.08
13,II,115,30,14,0,20,0.68,0.02,2.44
14,II,115,40,6,1,19,0.86,0.07,2.55
1,II,463,25,20,15,5,0.55,0.74,-0.5
2,II,463,37,5,17,1,0.87,0.92,-0.28
3,II,463,25,21,2,18,0.54,0.12,1.29
4,II,463,31,14,5,15,0.68,0.26,1.12
5,II,463,9,35,0,20,0.21,0.02,1.18
6,II,463,39,6,14,6,0.86,0.69,0.58
7,II,463,29,17,4,16,0.63,0.21,1.12
8,II,463,36,9,16,4,0.79,0.79,0.03
9,II,463,35,11,9,11,0.76,0.45,0.81
10,II,463,28,18,1,19,0.61,0.07,1.74
11,II,463,22,22,1,19,0.5,0.07,1.47
12,II,463,38,6,14,6,0.86,0.69,0.56
13,II,463,12,33,0,20,0.27,0.02,1.37
14,II,463,12,32,0,20,0.28,0.02,1.39
